height_ft,band,frequency_mhz,total_length_lambda,apex_angle_deg,center_height_ft,end_height_ft,projected_span_ft,peak_elevation_deg,peak_azimuth_deg,peak_bearing,low_angle_peak_elevation_deg,low_angle_peak_azimuth_deg,low_angle_peak_bearing,low_angle_peak_relative_db,broadside_15deg_relative_db,best_15deg_relative_db,best_15deg_azimuth_deg,best_15deg_bearing,wire_axis_15deg_relative_db,zenith_relative_db
20.0,40m,7.05,0.4157300047888463,120.0,20.0,5.500000000000003,50.229473419497445,90.0,0.0,N,30.0,0.0,N,-4.391702669755121,-9.486619543111361,-9.486619543111361,0.0,N,-9.796609213639142,0.0
20.0,20m,14.05,0.8285115698274171,120.0,20.0,5.500000000000003,50.229473419497445,90.0,0.0,N,30.0,0.0,N,-2.7189281062879878,-7.377070122942135,-7.377070122942135,0.0,N,-10.596147559148184,0.0
20.0,17m,18.08,1.0661558136996228,120.0,20.0,5.500000000000003,50.229473419497445,68.0,0.0,N,30.0,0.0,N,-2.1128939656063754,-6.615652234862238,-6.615652234862238,0.0,N,-10.26188776570943,-0.05245216732542437
20.0,15m,21.05,1.241293134865988,120.0,20.0,5.500000000000003,50.229473419497445,90.0,0.0,N,30.0,0.0,N,-2.73438524956525,-7.433986844915779,-7.433986844915779,0.0,N,-10.5942621948901,0.0
20.0,12m,24.91,1.468912683587257,120.0,20.0,5.500000000000003,50.229473419497445,90.0,0.0,N,23.0,50.0,NE,-6.077517396036586,-15.64393289514662,-6.90667696827889,48.0,NE,-13.021013518571703,0.0
20.0,10m,28.05,1.6540746999045586,120.0,20.0,5.500000000000003,50.229473419497445,90.0,0.0,N,26.0,48.0,NE,-2.8218688137669212,-18.668212935918667,-4.459647736075652,42.0,NE,-12.192638730550767,0.0
30.0,40m,7.05,0.4157300047888463,120.0,30.0,15.500000000000002,50.229473419497445,90.0,0.0,N,30.0,0.0,N,-3.35525565663014,-8.211046257505547,-8.211046257505547,0.0,N,-12.25160729225899,0.0
30.0,20m,14.05,0.8285115698274171,120.0,30.0,15.500000000000002,50.229473419497445,41.0,0.0,N,30.0,0.0,N,-0.5435382541430318,-4.314115294343942,-4.314115294343942,0.0,N,-12.1083191059832,-2.442030661843849
30.0,17m,18.08,1.0661558136996228,120.0,30.0,15.500000000000002,50.229473419497445,34.0,0.0,N,30.0,0.0,N,-0.09654792210202262,-3.222970308523459,-3.222970308523459,0.0,N,-11.629235536874488,-6.310895534444294
30.0,15m,21.05,1.241293134865988,120.0,30.0,15.500000000000002,50.229473419497445,33.0,0.0,N,30.0,0.0,N,-0.05583218738188695,-3.0857205390662705,-3.0857205390662705,0.0,N,-11.295758712961636,-8.02707354409113
30.0,12m,24.91,1.468912683587257,120.0,30.0,15.500000000000002,50.229473419497445,41.0,0.0,N,30.0,0.0,N,-0.9469607970443419,-6.052524095455228,-3.608347191807792,52.0,NE,-12.0000264248552,-6.497190724355354
30.0,10m,28.05,1.6540746999045586,120.0,30.0,15.500000000000002,50.229473419497445,46.0,0.0,N,18.0,46.0,NE,-0.08290208976285232,-17.47984551912236,-0.39742849720841633,46.0,NE,-11.681871113249828,-7.1329484933603045
